Dun,J1,J2
117.036333333,82.764333333,93.161666666
117.284333333,83.039,93.401666666
117.551,83.132333333,93.535
117.887,83.396333333,93.897666666
118.223,83.628333333,94.135
118.433666667,83.852333333,94.265666666
118.673666667,84.127,94.647
118.956333333,84.223,94.889666666
119.300333333,84.503,95.020333333
119.625666667,84.591,95.375
119.831,84.852333333,95.620333333
120.071,84.964333333,95.745666666
120.340333333,85.065666666,95.991
120.692333333,85.209666666,96.105666666
121.012333333,85.311,96.335
121.228333333,85.569666666,96.468333333
121.460333333,85.684333333,96.849666666
121.743,85.937666666,97.073666666
122.084333333,86.031,97.204333333
122.407,86.297666666,97.572333333
122.612333333,86.521666666,97.815
122.844333333,86.764333333,97.943
123.129666667,87.047,98.295
123.476333333,87.148333333,98.535
123.801666667,87.503,98.652333333
124.028333333,87.761666666,99.009666666
124.252333333,87.865666666,99.236333333
124.524333333,88.225666666,99.383
124.892333333,88.503,99.745666666
125.231,88.596333333,99.988333333
125.444333333,88.969666666,100.119
125.692333333,89.247,100.481666666
125.959,89.335,100.716333333
126.308333333,89.721666666,100.852333333
126.623,89.977666666,101.212333333
126.839,90.068333333,101.444333333
127.073666667,90.449666666,101.572333333
127.340333333,90.721666666,101.929666666
127.716333333,90.809666666,102.145666666
128.02833333299998,91.199,102.284333333
128.247,91.460333333,102.519
128.49233333299998,91.553666666,102.655
128.743,91.932333333,102.892333333
129.08166666699998,92.204333333,103.015
129.39633333299997,92.300333333,103.375
129.601666667,92.671,103.612333333
129.852333333,92.937666666,103.740333333
130.108333333,93.031,104.092333333
130.465666667,93.404333333,104.340333333
130.788333333,93.676333333,104.460333333
130.999,93.895,104.823
131.23633333299998,94.145666666,105.060333333
131.489666667,94.423,105.183
131.84966666699998,94.513666666,105.551
132.14833333299998,94.785666666,105.809666666
132.56966666699998,94.879,105.919
132.865666667,95.145666666,106.289666666
133.220333333,95.372333333,106.521666666
133.532333333,95.588333333,106.657666666
133.740333333,95.849666666,107.025666666
133.975,95.961666666,107.260333333
134.23633333299998,96.236333333,107.375
134.59099999999998,96.332333333,107.732333333
134.91633333299998,96.617666666,107.967
135.12699999999998,96.828333333,108.092333333
135.348333333,97.055,108.460333333
135.599,97.335,108.700333333
135.96433333299998,97.431,108.823
136.28966666699998,97.705666666,109.084333333
136.503,97.807,109.191
136.735,98.068333333,109.425666666
137.00433333299998,98.172333333,109.548333333
137.367,98.289666666,109.903
137.68966666699998,98.420333333,110.137666666
137.89766666699998,98.519,110.257666666
138.12699999999998,98.783,110.628333333
138.38566666699998,98.897666666,110.863
138.489666667,99.148333333,110.988333333
138.74833333299998,99.247,111.353666666
139.068333333,99.527,111.599
139.276333333,99.745666666,111.705666666
139.511,99.972333333,112.068333333
139.759,100.244333333,112.295
140.10299999999998,100.351,112.425666666
140.43099999999998,100.601666666,112.799
140.625666667,100.708333333,113.015
140.855,100.972333333,113.140333333
141.108333333,101.079,113.492333333
141.45766666699998,101.433666666,113.716333333
141.767,101.689666666,113.847
141.96966666699998,101.796333333,114.209666666
142.19366666699997,102.161666666,114.436333333
142.44966666699997,102.425666666,114.559
142.788333333,102.519,114.905666666
143.116333333,102.887,115.124333333
143.31366666699998,103.143,115.263
143.54299999999998,103.247,115.617666666
143.783,103.612333333,115.839
144.116333333,103.892333333,115.964333333
144.44966666699997,103.991,116.324333333
144.64166666699998,104.353666666,116.548333333
144.857666667,104.599,116.700333333
145.12433333299998,104.697666666,116.908333333
145.46833333299998,105.060333333,117.047
145.77233333299998,105.340333333,117.263
145.98033333299998,105.425666666,117.383
